2025-04-06 14:38:37
我親愛的甜橙樹【暢銷千萬冊‧最溫柔的人生書】,約瑟．毛碌．吉．瓦斯康賽魯斯,331元,文學小說,https://www.books.com.tw/products/0011014584/25
你的人生，他們六個說了算！：決定你一生的六種物質,大衛．JP．菲利浦斯,284元,心理勵志,https://www.books.com.tw/products/0011009311/26
活著(經典新藏版),余華,315元,文學小說,https://www.books.com.tw/products/0011014501/27
媽媽，為什麼要快一點？（時間觀念＋親子關係＋共讀繪本）,中川宏貴,300元,童書/青少年文學,https://www.books.com.tw/products/0011009562/28
別對每件事都有反應2：不執著的練習,枡野俊明,260元,心理勵志,https://www.books.com.tw/products/0011011868/29
致富心態：關於財富、貪婪與幸福的20堂理財課（暢銷增訂版）,摩根‧豪瑟,355元,商業理財,https://www.books.com.tw/products/0010947224/30
翻轉你的期貨交易：何毅里長伯突破瓶頸的五個黄金法則,何毅里長伯,394元,商業理財,https://www.books.com.tw/products/0011016500/31
連日本人都驚呆的日文單字心智地圖【全新增修版】(附17組拉頁+專家講解心智圖教學課程+線上測驗100道單字填空題+「Youtor App」內含VRP虛擬點讀筆),前田美紀,315元,語言學習,https://www.books.com.tw/products/0011013348/32
城南舊事,林海音,140元,文學小說,https://www.books.com.tw/products/0010098675/33
黃帝內經╳量子糾纏：情志相勝、運氣調頻、分子營養與量子信息醫學實證,張淵豪,245元,醫療保健,https://www.books.com.tw/products/0010922101/34
百年孤寂：首度正式授權繁體中文版！出版50週年紀念全新譯本【平裝典藏版】,加布列‧賈西亞‧馬奎斯,355元,文學小說,https://www.books.com.tw/products/0010778418/35
中年之路：穿越幽暗，迎向完整的內在鍊金之旅,詹姆斯．霍利斯,379元,心理勵志,https://www.books.com.tw/products/0010990110/36
"英文自學ALL IN ONE全攻略【初級】(附文法教學影片+「Youtor App」內含VRP虛擬點讀筆+2,000單字電子書+字母筆順練習表)",外國語研究發展中心,315元,語言學習,https://www.books.com.tw/products/0010964718/37
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,尼克．馬朱利,316元,商業理財,https://www.books.com.tw/products/0010957881/38
FOOD超人益智遊戲貼紙書：數字123,（出版社：風車）,69元,童書/青少年文學,https://www.books.com.tw/products/0010947056/39
FOOD超人益智遊戲貼紙書：可愛娃娃屋,（出版社：風車）,69元,童書/青少年文學,https://www.books.com.tw/products/0010947052/40
FOOD超人益智遊戲貼紙書：公主變裝秀,（出版社：風車）,69元,童書/青少年文學,https://www.books.com.tw/products/0010947050/41
超級市場：FOOD超人益智遊戲貼紙書,風車編輯群,69元,童書/青少年文學,https://www.books.com.tw/products/0010855237/42
恐龍世界：FOOD超人益智遊戲貼紙書,風車編輯群,69元,童書/青少年文學,https://www.books.com.tw/products/0010855235/43
交通工具：FOOD超人益智遊戲貼紙書,風車編輯群,69元,童書/青少年文學,https://www.books.com.tw/products/0010855233/44
