﻿時間,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2025-04-08 14:26:14,童書/青少年文學(14),心理勵志(9),人文社科(5),文學小說(5),商業理財(4),語言學習(3),醫療保健(3),生活風格(2),宗教命理(2),藝術設計(2),親子教養(1),,,,,,,,,
2025-04-08 15:19:39,童書/青少年文學(13),心理勵志(10),文學小說(5),商業理財(5),人文社科(4),醫療保健(3),宗教命理(2),語言學習(2),生活風格(2),親子教養(1),自然科普(1),飲食(1),藝術設計(1),,,,,,,
2025-04-08 16:25:26,童書/青少年文學(12),心理勵志(10),文學小說(6),商業理財(6),人文社科(5),醫療保健(2),宗教命理(2),旅遊(1),自然科普(1),親子教養(1),生活風格(1),語言學習(1),藝術設計(1),飲食(1),,,,,,
2025-04-08 17:20:57,童書/青少年文學(12),心理勵志(8),人文社科(7),商業理財(7),文學小說(6),醫療保健(2),旅遊(1),電腦資訊(1),自然科普(1),親子教養(1),宗教命理(1),生活風格(1),語言學習(1),飲食(1),,,,,,
2025-04-08 18:20:37,童書/青少年文學(13),心理勵志(7),人文社科(6),文學小說(6),商業理財(6),語言學習(3),醫療保健(2),生活風格(2),旅遊(1),電腦資訊(1),自然科普(1),宗教命理(1),親子教養(1),,,,,,,
2025-04-08 19:17:12,童書/青少年文學(11),心理勵志(8),文學小說(6),商業理財(6),人文社科(5),醫療保健(4),語言學習(3),生活風格(2),旅遊(1),電腦資訊(1),宗教命理(1),親子教養(1),自然科普(1),,,,,,,
2025-04-08 20:34:55,童書/青少年文學(12),心理勵志(7),人文社科(6),文學小說(6),商業理財(6),語言學習(3),醫療保健(3),生活風格(2),旅遊(1),電腦資訊(1),宗教命理(1),親子教養(1),自然科普(1),,,,,,,
2025-04-08 21:29:50,童書/青少年文學(14),心理勵志(7),文學小說(6),商業理財(6),人文社科(5),醫療保健(4),語言學習(2),旅遊(1),電腦資訊(1),宗教命理(1),親子教養(1),自然科普(1),生活風格(1),,,,,,,
2025-04-08 22:20:12,童書/青少年文學(13),心理勵志(8),文學小說(7),商業理財(6),人文社科(4),醫療保健(4),語言學習(2),旅遊(1),宗教命理(1),電腦資訊(1),親子教養(1),自然科普(1),生活風格(1),,,,,,,
2025-04-08 23:21:21,童書/青少年文學(12),心理勵志(9),商業理財(7),文學小說(6),人文社科(4),醫療保健(4),語言學習(2),旅遊(1),宗教命理(1),親子教養(1),電腦資訊(1),考試用書(1),自然科普(1),,,,,,,
